RDD, TF, n, Tardiness BestFirst, Runtime BestFirst, Tardiness Greedy, Runtime Greedy, Tardiness Exact, Runtime Exact, Epsilon, Tardiness Approx, Runtime Approx, Epsilon, Tardiness Approx, Runtime Approx, Epsilon, Tardiness Approx, Runtime Approx, Epsilon, Tardiness Approx, Runtime Approx
0.2, 0.4, 90, N/A, N/A, , 60, 13704.0, 10804, 0.1, , 60, 0.5, , 30, 1.0, , 30, 2.0, , 30
0.2, 0.4, 95, N/A, N/A, , 60, 17333.0, 17354, 0.1, , 90, 0.5, , 30, 1.0, , 60, 2.0, , 60
0.2, 0.6, 10, N/A, N/A, , 60, 889.0, 281, 0.1, , 0, 0.5, , 30, 1.0, , 30, 2.0, , 60
0.2, 0.6, 100, N/A, N/A, , 60, 57924.0, 116316, 0.1, , 30, 0.5, , 30, 1.0, , 30, 2.0, , 60
0.2, 0.6, 15, N/A, N/A, , 30, 1200.0, 368, 0.1, , 1114, 0.5, , 60, 1.0, , 30, 2.0, , 30
0.2, 0.6, 20, N/A, N/A, , 30, 1570.0, 455, 0.1, , 30, 0.5, , 30, 1.0, , 30, 2.0, , 30
0.2, 0.6, 25, N/A, N/A, , 60, 2903.0, 440, 0.1, , 60, 0.5, , 30, 1.0, , 60, 2.0, , 30
0.2, 0.6, 30, N/A, N/A, , 30, 5043.0, 625, 0.1, , 60, 0.5, , 30, 1.0, , 30, 2.0, , 30
0.2, 0.6, 35, N/A, N/A, , 60, 6999.0, 1286, 0.1, , 30, 0.5, , 30, 1.0, , 60, 2.0, , 30
0.2, 0.6, 40, N/A, N/A, , 90, 10476.0, 1718, 0.1, , 90, 0.5, , 30, 1.0, , 30, 2.0, , 30
0.2, 0.6, 45, N/A, N/A, , 60, 10957.0, 3615, 0.1, , 30, 0.5, , 30, 1.0, , 30, 2.0, , 30
0.2, 0.6, 5, N/A, N/A, , 30, 140.0, 259, 0.1, , 30, 0.5, , 60, 1.0, , 60, 2.0, , 30
0.2, 0.6, 50, N/A, N/A, , 60, 12814.0, 2966, 0.1, , 30, 0.5, , 90, 1.0, , 30, 2.0, , 30
0.2, 0.6, 55, N/A, N/A, , 30, 16069.0, 2819, 0.1, , 30, 0.5, , 60, 1.0, , 30, 2.0, , 60
0.2, 0.6, 60, N/A, N/A, , 60, 20883.0, 8363, 0.1, , 30, 0.5, , 30, 1.0, , 60, 2.0, , 30
0.2, 0.6, 65, N/A, N/A, , 60, 20665.0, 2640, 0.1, , 60, 0.5, , 0, 1.0, , 30, 2.0, , 60
0.2, 0.6, 70, N/A, N/A, , 30, 22136.0, 25929, 0.1, , 0, 0.5, , 30, 1.0, , 0, 2.0, , 30
0.2, 0.6, 75, N/A, N/A, , 90, 31566.0, 34936, 0.1, , 0, 0.5, , 30, 1.0, , 0, 2.0, , 0
0.2, 0.6, 80, N/A, N/A, , 30, 32477.0, 13627, 0.1, , 0, 0.5, , 0, 1.0, , 0, 2.0, , 30
0.2, 0.6, 85, N/A, N/A, , 30, 34121.0, 59104, 0.1, , 0, 0.5, , 30, 1.0, , 30, 2.0, , 0
0.2, 0.6, 90, N/A, N/A, , 0, 41779.0, 119939, 0.1, , 30, 0.5, , 30, 1.0, , 0, 2.0, , 0
