RDD, TF, n, Tardiness BestFirst, Runtime BestFirst, Tardiness Greedy, Runtime Greedy, Tardiness Exact, Runtime Exact, Epsilon, Tardiness Approx, Runtime Approx, Epsilon, Tardiness Approx, Runtime Approx
0.2, 0.4, 90, N/A, N/A, 25910.0, 636050, 13704.0, 25815302, 0.5, 13704.0, 258705648, 2.0, 13704.0, 264344088
0.2, 0.4, 95, N/A, N/A, 26061.0, 710471, 17333.0, 45670600, 0.5, 17336.0, 446549999, 2.0, 17347.0, 429600254
0.2, 0.6, 10, 889.0, 5841365309, 1038.0, 2078, 889.0, 4336, 0.5, 891.0, 17106, 2.0, 891.0, 18401
0.2, 0.6, 100, N/A, N/A, 86263.0, 849011, 57924.0, 663801943, 0.5, 57925.0, 4867963574, 2.0, 58007.0, 4413587884
0.2, 0.6, 15, N/A, N/A, 1918.0, 4156, 1200.0, 15570, 0.5, 1201.0, 130559, 2.0, 1228.0, 101104
0.2, 0.6, 20, N/A, N/A, 3317.0, 7860, 1570.0, 49904, 0.5, 1575.0, 445828, 2.0, 1576.0, 498142
0.2, 0.6, 25, N/A, N/A, 4725.0, 16082, 2903.0, 56410, 0.5, 2903.0, 539313, 2.0, 2951.0, 346109
0.2, 0.6, 30, N/A, N/A, 8621.0, 30539, 5043.0, 121433, 0.5, 5043.0, 1197530, 2.0, 5150.0, 1050978
0.2, 0.6, 35, N/A, N/A, 12340.0, 41170, 6999.0, 546963, 0.5, 7004.0, 6037918, 2.0, 7011.0, 5431413
0.2, 0.6, 40, N/A, N/A, 17134.0, 59000, 10476.0, 914215, 0.5, 10476.0, 9756461, 2.0, 10534.0, 10051702
0.2, 0.6, 45, N/A, N/A, 19303.0, 82612, 10957.0, 2736532, 0.5, 10962.0, 28656402, 2.0, 11010.0, 28328544
0.2, 0.6, 5, 140.0, 56621, 247.0, 873, 140.0, 1897, 0.5, 140.0, 4909, 2.0, 140.0, 5390
0.2, 0.6, 50, N/A, N/A, 20804.0, 114506, 12814.0, 2511254, 0.5, 12830.0, 27359575, 2.0, 12866.0, 24895725
0.2, 0.6, 55, N/A, N/A, 22140.0, 154080, 16069.0, 1870264, 0.5, 16069.0, 16163168, 2.0, 16107.0, 13520933
0.2, 0.6, 60, N/A, N/A, 30969.0, 193986, 20883.0, 10264422, 0.5, 20883.0, 100548710, 2.0, 21053.0, 86261588
0.2, 0.6, 65, N/A, N/A, 32287.0, 248740, 20665.0, 4609176, 0.5, 20674.0, 43556324, 2.0, 20728.0, 27209168
0.2, 0.6, 70, N/A, N/A, 44392.0, 294639, 22136.0, 48448122, 0.5, 22136.0, 508483456, 2.0, 22217.0, 461064055
0.2, 0.6, 75, N/A, N/A, 48694.0, 383967, 31566.0, 35223816, 0.5, 31582.0, 438940853, 2.0, 31651.0, 366926028
0.2, 0.6, 80, N/A, N/A, 52211.0, 452575, 32477.0, 16980917, 0.5, 32486.0, 172642743, 2.0, 32499.0, 140837681
0.2, 0.6, 85, N/A, N/A, 62722.0, 538952, 34121.0, 47021609, 0.5, 34128.0, 653390066, 2.0, 34316.0, 481905579
0.2, 0.6, 90, N/A, N/A, 62814.0, 674661, 41779.0, 315144715, 0.5, 41779.0, 4132210203, 2.0, 41853.0, 3295984438
0.2, 0.6, 95, N/A, N/A, 75829.0, 735890, 46009.0, 158028155, 0.5, 46009.0, 1418486609, 2.0, 46045.0, 1409869431
0.2, 0.8, 10, 1569.0, 8068576555, 2029.0, 2017, 1569.0, 3614, 0.5, 1569.0, 15269, 2.0, 1589.0, 10691
0.2, 0.8, 100, N/A, N/A, 150807.0, 888254, 105901.0, 43821116, 0.5, 105909.0, 573963002, 2.0, 106168.0, 342162337
0.2, 0.8, 15, N/A, N/A, 3523.0, 4397, 2590.0, 6174, 0.5, 2590.0, 43881, 2.0, 2617.0, 25961
0.2, 0.8, 20, N/A, N/A, 7529.0, 7951, 4999.0, 17588, 0.5, 5003.0, 193866, 2.0, 5057.0, 128932
0.2, 0.8, 25, N/A, N/A, 8933.0, 14396, 5896.0, 30478, 0.5, 5897.0, 251932, 2.0, 5945.0, 276297
0.2, 0.8, 30, N/A, N/A, 17167.0, 25509, 13769.0, 80413, 0.5, 13772.0, 731131, 2.0, 13898.0, 550999
0.2, 0.8, 35, N/A, N/A, 19493.0, 40086, 10768.0, 143750, 0.5, 10773.0, 1367694, 2.0, 10788.0, 1323150
0.2, 0.8, 40, N/A, N/A, 29078.0, 60867, 16005.0, 707338, 0.5, 16007.0, 5251491, 2.0, 16086.0, 4587401
0.2, 0.8, 45, N/A, N/A, 36111.0, 82100, 23477.0, 983305, 0.5, 23477.0, 10670526, 2.0, 23586.0, 9369301
0.2, 0.8, 5, 396.0, 53609, 607.0, 873, 396.0, 1264, 0.5, 396.0, 5481, 2.0, 452.0, 6354
0.2, 0.8, 50, N/A, N/A, 38607.0, 129234, 25834.0, 819616, 0.5, 25835.0, 8838752, 2.0, 25955.0, 7751180
0.2, 0.8, 55, N/A, N/A, 58550.0, 159291, 37149.0, 3369511, 0.5, 37150.0, 34718867, 2.0, 37298.0, 29642539
0.2, 0.8, 60, N/A, N/A, 58136.0, 191878, 36349.0, 2440628, 0.5, 36349.0, 26089913, 2.0, 36423.0, 22628091
0.2, 0.8, 65, N/A, N/A, 74719.0, 256962, 47499.0, 5298384, 0.5, 47510.0, 59299835, 2.0, 47592.0, 55807866
0.2, 0.8, 70, N/A, N/A, 77056.0, 306294, 42997.0, 14906968, 0.5, 43003.0, 162277608, 2.0, 43071.0, 121815703
0.2, 0.8, 75, N/A, N/A, 81979.0, 372402, 54048.0, 2749332, 0.5, 54048.0, 30024488, 2.0, 54175.0, 29845018
0.2, 0.8, 80, N/A, N/A, 98265.0, 450948, 62435.0, 17046001, 0.5, 62436.0, 207785604, 2.0, 62688.0, 162776414
0.2, 0.8, 85, N/A, N/A, 100402.0, 575454, 55352.0, 15135228, 0.5, 55363.0, 170585239, 2.0, 55592.0, 170066104
0.2, 0.8, 90, N/A, N/A, 114261.0, 631593, 78086.0, 17467856, 0.5, 78093.0, 201166750, 2.0, 78113.0, 189682270
0.2, 0.8, 95, N/A, N/A, 147530.0, 742365, 87020.0, 30292774, 0.5, 87047.0, 339906087, 2.0, 87316.0, 313273367
0.2, 1.0, 10, 1921.0, 6153561706, 2715.0, 1656, 1921.0, 2710, 0.5, 1921.0, 14095, 2.0, 1950.0, 10300
0.2, 1.0, 100, N/A, N/A, 242041.0, 862022, 171168.0, 219104, 0.5, 171173.0, 2395482, 2.0, 171281.0, 2473848
0.2, 1.0, 15, N/A, N/A, 6022.0, 3885, 3944.0, 3162, 0.5, 3944.0, 21112, 2.0, 3976.0, 22828
0.2, 1.0, 20, N/A, N/A, 9947.0, 8011, 7032.0, 6234, 0.5, 7033.0, 36231, 2.0, 7053.0, 34394
0.2, 1.0, 25, N/A, N/A, 15109.0, 15239, 11344.0, 9908, 0.5, 11344.0, 68336, 2.0, 11368.0, 65595
0.2, 1.0, 30, N/A, N/A, 21418.0, 34785, 12864.0, 20781, 0.5, 12873.0, 135618, 2.0, 12933.0, 132336
0.2, 1.0, 35, N/A, N/A, 28298.0, 39243, 22558.0, 11264, 0.5, 22561.0, 98424, 2.0, 22576.0, 97128
0.2, 1.0, 40, N/A, N/A, 46494.0, 60204, 33256.0, 15028, 0.5, 33259.0, 145708, 2.0, 33279.0, 167332
0.2, 1.0, 45, N/A, N/A, 52120.0, 84841, 36891.0, 19937, 0.5, 36891.0, 185252, 2.0, 36942.0, 208653
0.2, 1.0, 5, 419.0, 47886, 546.0, 873, 419.0, 1355, 0.5, 419.0, 5903, 2.0, 419.0, 4728
0.2, 1.0, 50, N/A, N/A, 65372.0, 113994, 43331.0, 38038, 0.5, 43336.0, 362433, 2.0, 43424.0, 337827
0.2, 1.0, 55, N/A, N/A, 80156.0, 148358, 53067.0, 57735, 0.5, 53071.0, 695352, 2.0, 53144.0, 580965
0.2, 1.0, 60, N/A, N/A, 75331.0, 189408, 47152.0, 56952, 0.5, 47153.0, 590031, 2.0, 47217.0, 586718
0.2, 1.0, 65, N/A, N/A, 115588.0, 242415, 77220.0, 62584, 0.5, 77220.0, 653579, 2.0, 77304.0, 641983
0.2, 1.0, 70, N/A, N/A, 124285.0, 305180, 87288.0, 54843, 0.5, 87288.0, 593253, 2.0, 87326.0, 520279
0.2, 1.0, 75, N/A, N/A, 128269.0, 366981, 84307.0, 89328, 0.5, 84309.0, 856149, 2.0, 84388.0, 866840
0.2, 1.0, 80, N/A, N/A, 173268.0, 463568, 114361.0, 95833, 0.5, 114372.0, 950055, 2.0, 114433.0, 1057544
0.2, 1.0, 85, N/A, N/A, 201583.0, 616233, 149864.0, 290513, 0.5, 149864.0, 950055, 2.0, 149942.0, 965264
0.2, 1.0, 90, N/A, N/A, 213741.0, 608884, 150649.0, 99387, 0.5, 150649.0, 1103925, 2.0, 150711.0, 1108985
0.2, 1.0, 95, N/A, N/A, 222196.0, 721975, 153874.0, 135257, 0.5, 153874.0, 1420580, 2.0, 153933.0, 1418231
0.4, 0.2, 10, 52.0, 7467514252, 52.0, 1957, 52.0, 6836, 0.5, 52.0, 44182, 2.0, 52.0, 34695
0.4, 0.2, 100, N/A, N/A, 14.0, 929214, 14.0, 64662, 0.5, 14.0, 491065, 2.0, 14.0, 466609
0.4, 0.2, 15, N/A, N/A, 27.0, 3764, 24.0, 4035, 0.5, 24.0, 26714, 2.0, 24.0, 24846
0.4, 0.2, 20, N/A, N/A, 26.0, 7499, 24.0, 16956, 0.5, 24.0, 162905, 2.0, 24.0, 547445
0.4, 0.2, 25, N/A, N/A, 57.0, 15420, 57.0, 17769, 0.5, 57.0, 164501, 2.0, 57.0, 147666
0.4, 0.2, 30, N/A, N/A, 283.0, 25268, 223.0, 37405, 0.5, 224.0, 350537, 2.0, 224.0, 373637
0.4, 0.2, 35, N/A, N/A, 14.0, 40748, 14.0, 169139, 0.5, 14.0, 1670103, 2.0, 14.0, 1687632
0.4, 0.2, 40, N/A, N/A, 8.0, 61379, 8.0, 13673, 0.5, 8.0, 120981, 2.0, 8.0, 124836
0.4, 0.2, 45, N/A, N/A, 9.0, 83575, 9.0, 65866, 0.5, 9.0, 651832, 2.0, 9.0, 617407
0.4, 0.2, 5, 45.0, 68366, 47.0, 1656, 45.0, 1385, 0.5, 45.0, 6415, 2.0, 47.0, 7649
0.4, 0.2, 50, N/A, N/A, 46.0, 126131, 46.0, 130137, 0.5, 46.0, 959512, 2.0, 46.0, 894036
0.4, 0.2, 55, N/A, N/A, 49.0, 155526, 36.0, 378215, 0.5, 36.0, 3411284, 2.0, 36.0, 3478355
0.4, 0.2, 60, N/A, N/A, 12.0, 193113, 12.0, 115801, 0.5, 12.0, 1311103, 2.0, 12.0, 1199668
0.4, 0.2, 65, N/A, N/A, 106.0, 243831, 82.0, 114596, 0.5, 82.0, 1137265, 2.0, 82.0, 1124796
0.4, 0.2, 70, N/A, N/A, 5.0, 300572, 5.0, 24997, 0.5, 5.0, 253348, 2.0, 5.0, 237566
0.4, 0.2, 75, N/A, N/A, 52.0, 363397, 52.0, 148298, 0.5, 52.0, 1512408, 2.0, 52.0, 1489338
0.4, 0.2, 80, N/A, N/A, 10.0, 445286, 10.0, 414747, 0.5, 10.0, 4169581, 2.0, 10.0, 4443229
0.4, 0.2, 85, N/A, N/A, 3.0, 535669, 3.0, 3530790, 0.5, 3.0, 35746505, 2.0, 3.0, 35465057
0.4, 0.2, 90, N/A, N/A, 146.0, 614817, 105.0, 1180182, 0.5, 105.0, 13363870, 2.0, 105.0, 11364402
0.4, 0.2, 95, N/A, N/A, 23.0, 747967, 23.0, 386166, 0.5, 23.0, 3323401, 2.0, 23.0, 3331503
0.4, 0.4, 10, 185.0, 3623330552, 221.0, 1505, 185.0, 3825, 0.5, 185.0, 18974, 2.0, 185.0, 17498
0.4, 0.4, 100, N/A, N/A, 18834.0, 879219, 10140.0, 39221367, 0.5, 10144.0, 404087963, 2.0, 10144.0, 392129433
